Uniprot ID,Protein Name,Gene Name,Function
O43155,Leucine-rich repeat transmembrane protein FLRT2,FLRT2,"Functions in cell-cell adhesion, cell migration and axon guidance. Mediates cell-cell adhesion via its interactions with ADGRL3 and probably also other latrophilins that are expressed at the surface of adjacent cells. May play a role in the migration of cortical neurons during brain development via its interaction with UNC5D. Mediates axon growth cone collapse and plays a repulsive role in neuron guidance via its interaction with UNC5D, and possibly also other UNC-5 family members. Plays a role in fibroblast growth factor-mediated signaling cascades. Required for normal organization of the cardiac basement membrane during embryogenesis, and for normal embryonic epicardium and heart morphogenesis.By similarity"
P14384,Carboxypeptidase M,CPM,"Specifically removes C-terminal basic residues (Arg or Lys) from peptides and proteins. It is believed to play important roles in the control of peptide hormone and growth factor activity at the cell surface, and in the membrane-localized degradation of extracellular proteins.1 Publication"
Q8IUN9,C-type lectin domain family 10 member A,CLEC10A,"Probable role in regulating adaptive and innate immune responses. Binds in a calcium-dependent manner to terminal galactose and N-acetylgalactosamine units, linked to serine or threonine. These sugar moieties are known as Tn-Ag and are expressed in a variety of carcinoma cells.1 Publication"
P78333,Glypican-5,GPC5,Cell surface proteoglycan that bears heparan sulfate.By similarity
P12644,Bone morphogenetic protein 4,BMP4,"Induces cartilage and bone formation. Also acts in mesoderm induction, tooth development, limb formation and fracture repair. Acts in concert with PTHLH/PTHRP to stimulate ductal outgrowth during embryonic mammary development and to inhibit hair follicle induction (By similarity).By similarity"
Q96LA5,Fc receptor-like protein 2,FCRL2,May have an regulatory role in normal and neoplastic B cell development.1 Publication
Q8NFP4,MAM domain-containing glycosylphosphatidylinositol anchor protein 1,MDGA1,Required for radial migration of cortical neurons in the superficial layer of the neocortex (By similarity). Plays a role in the formation or maintenance of inhibitory synapses. May function by inhibiting the activity of NLGN2.By similarity1 Publication
Q01344,Interleukin-5 receptor subunit alpha,IL5RA,This is the receptor for interleukin-5. The alpha chain binds to IL5.
P16234,Platelet-derived growth factor receptor alpha,PDGFRA,"Tyrosine-protein kinase that acts as a cell-surface receptor for PDGFA, PDGFB and PDGFC and plays an essential role in the regulation of embryonic development, cell proliferation, survival and chemotaxis. Depending on the context, promotes or inhibits cell proliferation and cell migration. Plays an important role in the differentiation of bone marrow-derived mesenchymal stem cells. Required for normal skeleton development and cephalic closure during embryonic development. Required for normal development of the mucosa lining the gastrointestinal tract, and for recruitment of mesenchymal cells and normal development of intestinal villi. Plays a role in cell migration and chemotaxis in wound healing. Plays a role in platelet activation, secretion of agonists from platelet granules, and in thrombin-induced platelet aggregation. Binding of its cognate ligands - homodimeric PDGFA, homodimeric PDGFB, heterodimers formed by PDGFA and PDGFB or homodimeric PDGFC -leads to the activation of several signaling cascades; the response depends on the nature of the bound ligand and is modulated by the formation of heterodimers between PDGFRA and PDGFRB. Phosphorylates PIK3R1, PLCG1, and PTPN11. Activation of PLCG1 leads to the production of the cellular signaling molecules diacylglycerol and inositol 1,4,5-trisphosphate, mobilization of cytosolic Ca2+ and the activation of protein kinase C. Phosphorylates PIK3R1, the regulatory subunit of phosphatidylinositol 3-kinase, and thereby mediates activation of the AKT1 signaling pathway. Mediates activation of HRAS and of the MAP kinases MAPK1/ERK2 and/or MAPK3/ERK1. Promotes activation of STAT family members STAT1, STAT3 and STAT5A and/or STAT5B. Receptor signaling is down-regulated by protein phosphatases that dephosphorylate the receptor and its down-stream effectors, and by rapid internalization of the activated receptor.15 Publications"
P53634,Dipeptidyl peptidase 1,CTSC,"Thiol protease. Has dipeptidylpeptidase activity. Active against a broad range of dipeptide substrates composed of both polar and hydrophobic amino acids. Proline cannot occupy the P1 position and arginine cannot occupy the P2 position of the substrate. Can act as both an exopeptidase and endopeptidase. Activates serine proteases such as elastase, cathepsin G and granzymes A and B. Can also activate neuraminidase and factor XIII.1 Publication"
P55285,Cadherin-6,CDH6,Cadherins are calcium-dependent cell adhesion proteins. They preferentially interact with themselves in a homophilic manner in connecting cells; cadherins may thus contribute to the sorting of heterogeneous cell types.
Q08345,Epithelial discoidin domain-containing receptor 1,DDR1,"Tyrosine kinase that functions as cell surface receptor for fibrillar collagen and regulates cell attachment to the extracellular matrix, remodeling of the extracellular matrix, cell migration, differentiation, survival and cell proliferation. Collagen binding triggers a signaling pathway that involves SRC and leads to the activation of MAP kinases. Regulates remodeling of the extracellular matrix by up-regulation of the matrix metalloproteinases MMP2, MMP7 and MMP9, and thereby facilitates cell migration and wound healing. Required for normal blastocyst implantation during pregnancy, for normal mammary gland differentiation and normal lactation. Required for normal ear morphology and normal hearing (By similarity). Promotes smooth muscle cell migration, and thereby contributes to arterial wound healing. Also plays a role in tumor cell invasion. Phosphorylates PTPN11.By similarity9 Publications"
P57087,Junctional adhesion molecule B,JAM2,"Junctional adhesion protein that mediates heterotypic cell-cell interactions with its cognate receptor JAM3 to regulate different cellular processes (PubMed:11590146, PubMed:11823489, PubMed:24357068). Plays a role in homing and mobilization of hematopoietic stem and progenitor cells within the bone marrow (PubMed:24357068). At the surface of bone marrow stromal cells, it contributes to the retention of the hematopoietic stem and progenitor cells expressing JAM3 (PubMed:11590146, PubMed:24357068). Plays a central role in leukocytes extravasation by facilitating not only transmigration but also tethering and rolling of leukocytes along the endothelium (PubMed:12239159). Tethering and rolling of leukocytes are dependent on the binding by JAM2 of the integrin alpha-4/beta-1 (PubMed:12070135). Plays a role in spermatogenesis where JAM2 and JAM3, which are respectively expressed by Sertoli and germ cells, mediate an interaction between both cell types and play an essential role in the anchorage of germ cells onto Sertoli cells and the assembly of cell polarity complexes during spermatid differentiation (By similarity). Also functions as an inhibitory somatodendritic cue that prevents the myelination of non-axonal parts of neurons (By similarity). During myogenesis, it is involved in myocyte fusion (By similarity). May also play a role in angiogenesis (By similarity).By similarity"
P25774,Cathepsin S,CTSS,Thiol protease. Key protease responsible for the removal of the invariant chain from MHC class II molecules. The bond-specificity of this proteinase is in part similar to the specificities of cathepsin L.
Q9NR71,Neutral ceramidase,ASAH2,"Plasma membrane ceramidase that hydrolyzes sphingolipid ceramides into sphingosine and free fatty acids at neutral pH (PubMed:10781606, PubMed:16229686, PubMed:26190575). Ceramides, sphingosine, and its phosphorylated form sphingosine-1-phosphate are bioactive lipids that mediate cellular signaling pathways regulating several biological processes including cell proliferation, apoptosis and differentiation (PubMed:15946935, PubMed:19345744, PubMed:24798654). Also catalyzes the reverse reaction allowing the synthesis of ceramides from fatty acids and sphingosine (PubMed:11278489, PubMed:17475390). Together with sphingomyelinase, participates in the production of sphingosine and sphingosine-1-phosphate from the degradation of sphingomyelin, a sphingolipid enriched in the plasma membrane of cells (PubMed:16061940). Also participates in the hydrolysis of ceramides from the extracellular milieu allowing the production of sphingosine-1-phosphate inside and outside cells (By similarity). This is the case for instance with the digestion of dietary sphingolipids in the intestinal tract (By similarity).By similarity"
Q02083,N-acylethanolamine-hydrolyzing acid amidase,NAAA,"Degrades bioactive fatty acid amides to their corresponding acids, with the following preference: N-palmitoylethanolamine > N-myristoylethanolamine > N-lauroylethanolamine = N-stearoylethanolamine > N-arachidonoylethanolamine > N-oleoylethanolamine (PubMed:15655246, PubMed:17980170, PubMed:18793752, PubMed:30301806). Also exhibits weak hydrolytic activity against the ceramides N-lauroylsphingosine and N-palmitoylsphingosine (PubMed:15655246).4 Publications"
Q9BZM5,UL16-binding protein 2,ULBP2,"Binds and activates the KLRK1/NKG2D receptor, mediating natural killer cell cytotoxicity.1 Publication"
O43157,Plexin-B1,PLXNB1,"Receptor for SEMA4D (PubMed:19843518, PubMed:20877282, PubMed:21912513). Plays a role in GABAergic synapse development (By similarity). Mediates SEMA4A- and SEMA4D-dependent inhibitory synapse development (By similarity). Plays a role in RHOA activation and subsequent changes of the actin cytoskeleton (PubMed:12196628, PubMed:15210733). Plays a role in axon guidance, invasive growth and cell migration (PubMed:12198496).By similarity"
O75509,Tumor necrosis factor receptor superfamily member 21,TNFRSF21,"Promotes apoptosis, possibly via a pathway that involves the activation of NF-kappa-B. Can also promote apoptosis mediated by BAX and by the release of cytochrome c from the mitochondria into the cytoplasm. Plays a role in neuronal apoptosis, including apoptosis in response to amyloid peptides derived from APP, and is required for both normal cell body death and axonal pruning. Trophic-factor deprivation triggers the cleavage of surface APP by beta-secretase to release sAPP-beta which is further cleaved to release an N-terminal fragment of APP (N-APP). N-APP binds TNFRSF21; this triggers caspase activation and degeneration of both neuronal cell bodies (via caspase-3) and axons (via caspase-6). Negatively regulates oligodendrocyte survival, maturation and myelination. Plays a role in signaling cascades triggered by stimulation of T-cell receptors, in the adaptive immune response and in the regulation of T-cell differentiation and proliferation. Negatively regulates T-cell responses and the release of cytokines such as IL4, IL5, IL10, IL13 and IFNG by Th2 cells. Negatively regulates the production of IgG, IgM and IgM in response to antigens. May inhibit the activation of JNK in response to T-cell stimulation.3 Publications"
Q8TDQ1,CMRF35-like molecule 1,CD300LF,"Acts as an inhibitory receptor for myeloid cells and mast cells (PubMed:15549731). Positively regulates the phagocytosis of apoptotic cells (efferocytosis) via phosphatidylserine (PS) recognition; recognizes and binds PS as a ligand which is expressed on the surface of apoptotic cells. Plays an important role in the maintenance of immune homeostasis, by promoting macrophage-mediated efferocytosis and by inhibiting dendritic cell-mediated efferocytosis (By similarity). Negatively regulates Fc epsilon receptor-dependent mast cell activation and allergic responses via binding to ceramide and sphingomyelin which act as ligands (PubMed:24035150). May act as a coreceptor for interleukin 4 (IL-4). Associates with and regulates IL-4 receptor alpha-mediated responses by augmenting IL-4- and IL-13-induced signaling (By similarity). Negatively regulates the Toll-like receptor (TLR) signaling mediated by MYD88 and TRIF through activation of PTPN6/SHP-1 and PTPN11/SHP-2 (PubMed:22043923). Inhibits osteoclast formation. Induces macrophage cell death upon engagement (By similarity).By similarity"
Q08629,Testican-1,SPOCK1,May play a role in cell-cell and cell-matrix interactions. May contribute to various neuronal mechanisms in the central nervous system.
P29460,Interleukin-12 subunit beta,IL12B,"Cytokine that can act as a growth factor for activated T and NK cells, enhance the lytic activity of NK/lymphokine-activated killer cells, and stimulate the production of IFN-gamma by resting PBMC.1 Publication"
P29459,Interleukin-12 subunit alpha,IL12A,"Cytokine that can act as a growth factor for activated T and NK cells, enhance the lytic activity of NK/lymphokine-activated killer cells, and stimulate the production of IFN-gamma by resting PBMC.3 Publications"
Q9UBT3,Dickkopf-related protein 4,DKK4,"Antagonizes canonical Wnt signaling by inhibiting LRP5/6 interaction with Wnt and by forming a ternary complex with the transmembrane protein KREMEN that promotes internalization of LRP5/6. DKKs play an important role in vertebrate development, where they locally inhibit Wnt regulated processes such as antero-posterior axial patterning, limb development, somitogenesis and eye formation. In the adult, Dkks are implicated in bone formation and bone disease, cancer and Alzheimer disease (By similarity).By similarity"
Q9HAV5,Tumor necrosis factor receptor superfamily member 27,EDA2R,"Receptor for EDA isoform A2, but not for EDA isoform A1. Mediates the activation of the NF-kappa-B and JNK pathways. Activation seems to be mediated by binding to TRAF3 and TRAF6.1 Publication"
O43561,Linker for activation of T-cells family member 1,LAT,"Required for TCR (T-cell antigen receptor)- and pre-TCR-mediated signaling, both in mature T-cells and during their development. Involved in FCGR3 (low affinity immunoglobulin gamma Fc region receptor III)-mediated signaling in natural killer cells and FCER1 (high affinity immunoglobulin epsilon receptor)-mediated signaling in mast cells. Couples activation of these receptors and their associated kinases with distal intracellular events such as mobilization of intracellular calcium stores, PKC activation, MAPK activation or cytoskeletal reorganization through the recruitment of PLCG1, GRB2, GRAP2, and other signaling molecules.1 Publication"
Q16288,NT-3 growth factor receptor,NTRK3,"Receptor tyrosine kinase involved in nervous system and probably heart development. Upon binding of its ligand NTF3/neurotrophin-3, NTRK3 autophosphorylates and activates different signaling pathways, including the phosphatidylinositol 3-kinase/AKT and the MAPK pathways, that control cell survival and differentiation.1 Publication"
Q6ISS4,Leukocyte-associated immunoglobulin-like receptor 2,LAIR2,Function Not Listed
P55145,Mesencephalic astrocyte-derived neurotrophic factor,MANF,"Selectively promotes the survival of dopaminergic neurons of the ventral mid-brain (PubMed:12794311). Modulates GABAergic transmission to the dopaminergic neurons of the substantia nigra (By similarity). Enhances spontaneous, as well as evoked, GABAergic inhibitory postsynaptic currents in dopaminergic neurons (By similarity). Inhibits cell proliferation and endoplasmic reticulum (ER) stress-induced cell death (PubMed:18561914, PubMed:22637475, PubMed:29497057). Retained in the ER/sarcoplasmic reticulum (SR) through association with the endoplasmic reticulum chaperone protein HSPA5 under normal conditions (PubMed:22637475). Up-regulated and secreted by the ER/SR in response to ER stress and hypoxia (PubMed:22637475). Following secretion by the ER/SR, directly binds to 3-O-sulfogalactosylceramide, a lipid sulfatide in the outer cell membrane of target cells (PubMed:29497057). Sulfatide binding promotes its cellular uptake by endocytosis, and is required for its role in alleviating ER stress and cell toxicity under hypoxic and ER stress conditions (PubMed:29497057).By similarity"
Q92752,Tenascin-R,TNR,"Neural extracellular matrix (ECM) protein involved in interactions with different cells and matrix components. These interactions can influence cellular behavior by either evoking a stable adhesion and differentiation, or repulsion and inhibition of neurite growth. Binding to cell surface gangliosides inhibits RGD-dependent integrin-mediated cell adhesion and results in an inhibition of PTK2/FAK1 (FAK) phosphorylation and cell detachment. Binding to membrane surface sulfatides results in a oligodendrocyte adhesion and differentiation. Interaction with CNTN1 induces a repulsion of neurons and an inhibition of neurite outgrowth. Interacts with SCN2B may play a crucial role in clustering and regulation of activity of sodium channels at nodes of Ranvier. TNR-linked chondroitin sulfate glycosaminoglycans are involved in the interaction with FN1 and mediate inhibition of cell adhesion and neurite outgrowth. The highly regulated addition of sulfated carbohydrate structure may modulate the adhesive properties of TNR over the course of development and during synapse maintenance (By similarity).By similarity"
Q8TD46,Cell surface glycoprotein CD200 receptor 1,CD200R1,"Inhibitory receptor for the CD200/OX2 cell surface glycoprotein. Limits inflammation by inhibiting the expression of proinflammatory molecules including TNF-alpha, interferons, and inducible nitric oxide synthase (iNOS) in response to selected stimuli. Also binds to HHV-8 K14 viral CD200 homolog with identical affinity and kinetics as the host CD200.1 Publication"
Q92823,Neuronal cell adhesion molecule,NRCAM,"Cell adhesion protein that is required for normal responses to cell-cell contacts in brain and in the peripheral nervous system. Plays a role in neurite outgrowth in response to contactin binding. Plays a role in mediating cell-cell contacts between Schwann cells and axons. Plays a role in the formation and maintenance of the nodes of Ranvier on myelinated axons. Nodes of Ranvier contain clustered sodium channels that are crucial for the saltatory propagation of action potentials along myelinated axons. During development, nodes of Ranvier are formed by the fusion of two heminodes. Required for normal clustering of sodium channels at heminodes; not required for the formation of mature nodes with normal sodium channel clusters. Required, together with GLDN, for maintaining NFASC and sodium channel clusters at mature nodes of Ranvier.By similarity"
Q16719,Kynureninase,KYNU,"Catalyzes the cleavage of L-kynurenine (L-Kyn) and L-3-hydroxykynurenine (L-3OHKyn) into anthranilic acid (AA) and 3-hydroxyanthranilic acid (3-OHAA), respectively. Has a preference for the L-3-hydroxy form. Also has cysteine-conjugate-beta-lyase activity.5 Publications"
P10636,Microtubule-associated protein tau,MAPT,"Promotes microtubule assembly and stability, and might be involved in the establishment and maintenance of neuronal polarity. The C-terminus binds axonal microtubules while the N-terminus binds neural plasma membrane components, suggesting that tau functions as a linker protein between both. Axonal polarity is predetermined by TAU/MAPT localization (in the neuronal cell) in the domain of the cell body defined by the centrosome. The short isoforms allow plasticity of the cytoskeleton whereas the longer isoforms may preferentially play a role in its stabilization.1 Publication"
P40222,Alpha-taxilin,TXLNA,May be involved in intracellular vesicle traffic and potentially in calcium-dependent exocytosis in neuroendocrine cells.
P15692,Vascular endothelial growth factor A,VEGFA,"Growth factor active in angiogenesis, vasculogenesis and endothelial cell growth. Induces endothelial cell proliferation, promotes cell migration, inhibits apoptosis and induces permeabilization of blood vessels. Binds to the FLT1/VEGFR1 and KDR/VEGFR2 receptors, heparan sulfate and heparin. NRP1/Neuropilin-1 binds isoforms VEGF-165 and VEGF-145. Isoform VEGF165B binds to KDR but does not activate downstream signaling pathways, does not activate angiogenesis and inhibits tumor growth. Binding to NRP1 receptor initiates a signaling pathway needed for motor neuron axon guidance and cell body migration, including for the caudal migration of facial motor neurons from rhombomere 4 to rhombomere 6 during embryonic development (By similarity).By similarity"
P16870,Carboxypeptidase E,CPE,"Sorting receptor that directs prohormones to the regulated secretory pathway. Acts also as a prohormone processing enzyme in neuro/endocrine cells, removing dibasic residues from the C-terminal end of peptide hormone precursors after initial endoprotease cleavage.By similarity"
Q9UKR3,Kallikrein-13,KLK13,Curated
P13688,Carcinoembryonic antigen-related cell adhesion molecule 1,CEACAM1,"Cell adhesion protein that mediates homophilic cell adhesion in a calcium-independent manner (By similarity). Plays a role as coinhibitory receptor in immune response, insulin action and functions also as an activator during angiogenesis (PubMed:18424730, PubMed:23696226, PubMed:25363763). Its coinhibitory receptor function is phosphorylation- and PTPN6 -dependent, which in turn, suppress signal transduction of associated receptors by dephosphorylation of their downstream effectors. Plays a role in immune response, of T cells, natural killer (NK) and neutrophils (PubMed:18424730, PubMed:23696226). Upon TCR/CD3 complex stimulation, inhibits TCR-mediated cytotoxicity by blocking granule exocytosis by mediating homophilic binding to adjacent cells, allowing interaction with and phosphorylation by LCK and interaction with the TCR/CD3 complex which recruits PTPN6 resulting in dephosphorylation of CD247 and ZAP70 (PubMed:18424730). Also inhibits T cell proliferation and cytokine production through inhibition of JNK cascade and plays a crucial role in regulating autoimmunity and anti-tumor immunity by inhibiting T cell through its interaction with HAVCR2 (PubMed:25363763). Upon natural killer (NK) cells activation, inhibit KLRK1-mediated cytolysis of CEACAM1-bearing tumor cells by trans-homophilic interactions with CEACAM1 on the target cell and lead to cis-interaction between CEACAM1 and KLRK1, allowing PTPN6 recruitment and then VAV1 dephosphorylation (PubMed:23696226). Upon neutrophils activation negatively regulates IL1B production by recruiting PTPN6 to a SYK-TLR4-CEACAM1 complex, that dephosphorylates SYK, reducing the production of reactive oxygen species (ROS) and lysosome disruption, which in turn, reduces the activity of the inflammasome. Downregulates neutrophil production by acting as a coinhibitory receptor for CSF3R by downregulating the CSF3R-STAT3 pathway through recruitment of PTPN6 that dephosphorylates CSF3R (By similarity). Also regulates insulin action by promoting INS clearance and regulating lipogenesis in liver through regulating insulin signaling (By similarity). Upon INS stimulation, undergoes phosphorylation by INSR leading to INS clearance by increasing receptor-mediated insulin endocytosis. This inernalization promotes interaction with FASN leading to receptor-mediated insulin degradation and to reduction of FASN activity leading to negative regulation of fatty acid synthesis. INSR-mediated phosphorylation also provokes a down-regulation of cell proliferation through SHC1 interaction resulting in decrease coupling of SHC1 to the MAPK3/ERK1-MAPK1/ERK2 and phosphatidylinositol 3-kinase pathways (By similarity). Functions as activator in angiogenesis by promoting blood vessel remodeling through endothelial cell differentiation and migration and in arteriogenesis by increasing the number of collateral arteries and collateral vessel calibers after ischemia. Also regulates vascular permeability through the VEGFR2 signaling pathway resulting in control of nitric oxide production (By similarity). Downregulates cell growth in response to EGF through its interaction with SHC1 that mediates interaction with EGFR resulting in decrease coupling of SHC1 to the MAPK3/ERK1-MAPK1/ERK2 pathway (By similarity). Negatively regulates platelet aggregation by decreasing platelet adhesion on type I collagen through the GPVI-FcRgamma complex (By similarity). Inhibits cell migration and cell scattering through interaction with FLNA; interfers with the interaction of FLNA with RALA (PubMed:16291724). Mediates bile acid transport activity in a phosphorylation dependent manner (By similarity). Negatively regulates osteoclastogenesis (By similarity).By similarity"
Q13421,Mesothelin,MSLN,Membrane-anchored forms may play a role in cellular adhesion.
O75888,Tumor necrosis factor ligand superfamily member 13,TNFSF13,Cytokine that binds to TNFRSF13B/TACI and to TNFRSF17/BCMA. Plays a role in the regulation of tumor cell growth. May be involved in monocyte/macrophage-mediated immunological processes.1 Publication
P01133,Pro-epidermal growth factor,EGF,EGF stimulates the growth of various epidermal and epithelial tissues in vivo and in vitro and of some fibroblasts in cell culture. Magnesiotropic hormone that stimulates magnesium reabsorption in the renal distal convoluted tubule via engagement of EGFR and activation of the magnesium channel TRPM6. Can induce neurite outgrowth in motoneurons of the pond snail Lymnaea stagnalis in vitro (PubMed:10964941).2 Publications
O95407,Tumor necrosis factor receptor superfamily member 6B,TNFRSF6B,"Decoy receptor that can neutralize the cytotoxic ligands TNFS14/LIGHT, TNFSF15 and TNFSF6/FASL. Protects against apoptosis.1 Publication"
P18827,Syndecan-1,SDC1,Cell surface proteoglycan that bears both heparan sulfate and chondroitin sulfate and that links the cytoskeleton to the interstitial matrix. Regulates exosome biogenesis in concert with SDCBP and PDCD6IP (PubMed:22660413).1 Publication
P37173,TGF-beta receptor type-2,TGFBR2,"Transmembrane serine/threonine kinase forming with the TGF-beta type I serine/threonine kinase receptor, TGFBR1, the non-promiscuous receptor for the TGF-beta cytokines TGFB1, TGFB2 and TGFB3. Transduces the TGFB1, TGFB2 and TGFB3 signal from the cell surface to the cytoplasm and is thus regulating a plethora of physiological and pathological processes including cell cycle arrest in epithelial and hematopoietic cells, control of mesenchymal cell proliferation and differentiation, wound healing, extracellular matrix production, immunosuppression and carcinogenesis. The formation of the receptor complex composed of 2 TGFBR1 and 2 TGFBR2 molecules symmetrically bound to the cytokine dimer results in the phosphorylation and the activation of TGFRB1 by the constitutively active TGFBR2. Activated TGFBR1 phosphorylates SMAD2 which dissociates from the receptor and interacts with SMAD4. The SMAD2-SMAD4 complex is subsequently translocated to the nucleus where it modulates the transcription of the TGF-beta-regulated genes. This constitutes the canonical SMAD-dependent TGF-beta signaling cascade. Also involved in non-canonical, SMAD-independent TGF-beta signaling pathways.1 Publication"
P05231,Interleukin-6,IL6,"Cytokine with a wide variety of biological functions. It is a potent inducer of the acute phase response. Plays an essential role in the final differentiation of B-cells into Ig-secreting cells Involved in lymphocyte and monocyte differentiation. Acts on B-cells, T-cells, hepatocytes, hematopoietic progenitor cells and cells of the CNS. Required for the generation of T(H)17 cells. Also acts as a myokine. It is discharged into the bloodstream after muscle contraction and acts to increase the breakdown of fats and to improve insulin resistance. It induces myeloma and plasmacytoma growth and induces nerve cells differentiation."
P09326,CD48 antigen,CD48,Ligand for CD2. Might facilitate interaction between activated lymphocytes. Probably involved in regulating T-cell activation.
O14828,Secretory carrier-associated membrane protein 3,SCAMP3,Functions in post-Golgi recycling pathways. Acts as a recycling carrier to the cell surface.
Q9HBG7,T-lymphocyte surface antigen Ly-9,LY9,"Self-ligand receptor of the signaling lymphocytic activation molecule (SLAM) family. SLAM receptors triggered by homo- or heterotypic cell-cell interactions are modulating the activation and differentiation of a wide variety of immune cells and thus are involved in the regulation and interconnection of both innate and adaptive immune response. Activities are controlled by presence or absence of small cytoplasmic adapter proteins, SH2D1A/SAP and/or SH2D1B/EAT-2. May participate in adhesion reactions between T lymphocytes and accessory cells by homophilic interaction. Promotes T-cell differentiation into a helper T-cell Th17 phenotype leading to increased IL-17 secretion; the costimulatory activity requires SH2D1A (PubMed:22184727). Promotes recruitment of RORC to the IL-17 promoter (PubMed:22989874). May be involved in the maintenance of peripheral cell tolerance by serving as a negative regulator of the immune response. May disable autoantibody responses and inhibit IFN-gamma secretion by CD4+ T-cells. May negatively regulate the size of thymic innate CD8+ T-cells and the development of invariant natural killer T (iNKT) cells (By similarity).By similarity"
P15260,Interferon gamma receptor 1,IFNGR1,"Associates with IFNGR2 to form a receptor for the cytokine interferon gamma (IFNG) (PubMed:7615558, PubMed:2971451, PubMed:7617032, PubMed:10986460). Ligand binding stimulates activation of the JAK/STAT signaling pathway (PubMed:7673114). Plays an essential role in the IFN-gamma pathway that is required for the cellular response to infectious agents (PubMed:20015550).6 Publications"
P06756,Integrin alpha-V,ITGAV,"The alpha-V (ITGAV) integrins are receptors for vitronectin, cytotactin, fibronectin, fibrinogen, laminin, matrix metalloproteinase-2, osteopontin, osteomodulin, prothrombin, thrombospondin and vWF. They recognize the sequence R-G-D in a wide array of ligands. ITGAV:ITGB3 binds to fractalkine (CX3CL1) and may act as its coreceptor in CX3CR1-dependent fractalkine signaling (PubMed:23125415). ITGAV:ITGB3 binds to NRG1 (via EGF domain) and this binding is essential for NRG1-ERBB signaling (PubMed:20682778). ITGAV:ITGB3 binds to FGF1 and this binding is essential for FGF1 signaling (PubMed:18441324). ITGAV:ITGB3 binds to FGF2 and this binding is essential for FGF2 signaling (PubMed:28302677). ITGAV:ITGB3 binds to IGF1 and this binding is essential for IGF1 signaling (PubMed:19578119). ITGAV:ITGB3 binds to IGF2 and this binding is essential for IGF2 signaling (PubMed:28873464). ITGAV:ITGB3 binds to IL1B and this binding is essential for IL1B signaling (PubMed:29030430). ITGAV:ITGB3 binds to PLA2G2A via a site (site 2) which is distinct from the classical ligand-binding site (site 1) and this induces integrin conformational changes and enhanced ligand binding to site 1 (PubMed:18635536, PubMed:25398877). ITGAV:ITGB3 and ITGAV:ITGB6 act as a receptor for fibrillin-1 (FBN1) and mediate R-G-D-dependent cell adhesion to FBN1 (PubMed:12807887, PubMed:17158881). Integrin alpha-V/beta-6 or alpha-V/beta-8 (ITGAV:ITGB6 or ITGAV:ITGB8) mediates R-G-D-dependent release of transforming growth factor beta-1 (TGF-beta-1) from regulatory Latency-associated peptide (LAP), thereby playing a key role in TGF-beta-1 activation (PubMed:15184403, PubMed:22278742, PubMed:28117447). ITGAV:ITGB3 act as a receptor for CD40LG (PubMed:31331973).15 Publications"
P50591,Tumor necrosis factor ligand superfamily member 10,TNFSF10,"Cytokine that binds to TNFRSF10A/TRAILR1, TNFRSF10B/TRAILR2, TNFRSF10C/TRAILR3, TNFRSF10D/TRAILR4 and possibly also to TNFRSF11B/OPG (PubMed:26457518, PubMed:10549288). Induces apoptosis. Its activity may be modulated by binding to the decoy receptors TNFRSF10C/TRAILR3, TNFRSF10D/TRAILR4 and TNFRSF11B/OPG that cannot induce apoptosis.2 Publications"
Q9UBX7,Kallikrein-11,KLK11,"Possible multifunctional protease. Efficiently cleaves 'bz-Phe-Arg-4-methylcoumaryl-7-amide', a kallikrein substrate, and weakly cleaves other substrates for kallikrein and trypsin. Cleaves synthetic peptides after arginine but not lysine residues.2 Publications"
P35052,Glypican-1,GPC1,"Cell surface proteoglycan that bears heparan sulfate. Binds, via the heparan sulfate side chains, alpha-4 (V) collagen and participates in Schwann cell myelination (By similarity). May act as a catalyst in increasing the rate of conversion of prion protein PRPN(C) to PRNP(Sc) via associating (via the heparan sulfate side chains) with both forms of PRPN, targeting them to lipid rafts and facilitating their interaction. Required for proper skeletal muscle differentiation by sequestering FGF2 in lipid rafts preventing its binding to receptors (FGFRs) and inhibiting the FGF-mediated signaling.By similarity2 Publications"
P48307,Tissue factor pathway inhibitor 2,TFPI2,"May play a role in the regulation of plasmin-mediated matrix remodeling. Inhibits trypsin, plasmin, factor VIIa/tissue factor and weakly factor Xa. Has no effect on thrombin.1 Publication"
O60259,Kallikrein-8,KLK8,"Serine protease which is capable of degrading a number of proteins such as casein, fibrinogen, kininogen, fibronectin and collagen type IV. Also cleaves L1CAM in response to increased neural activity. Induces neurite outgrowth and fasciculation of cultured hippocampal neurons. Plays a role in the formation and maturation of orphan and small synaptic boutons in the Schaffer-collateral pathway, regulates Schaffer-collateral long-term potentiation in the hippocampus and is required for memory acquisition and synaptic plasticity. Involved in skin desquamation and keratinocyte proliferation. Plays a role in the secondary phase of pathogenesis following spinal cord injury.1 Publication"
